chapter_group,kind_zh,id,name_zh,aliases_zh,corpus_zh,jing_zh,section_zh,mountain_zh,literature_appearance_zh,traits_effects_zh,habitat_ecology_zh,food_web_zh,trophic_role_zh,artistic_portrait_note_zh,related_zh,sources_note_zh
dahuang_jing,神祇,yinglong,应龙,,大荒經,大荒东经,大荒东经,凶犁土丘,龙身而有翼，杀蚩尤与夸父，不得复上，故下数旱（大意）。,旱/雨双相神力；可做天气轴 BOSS 或盟友。,下界水畔与战场遗迹；行云布雨与致旱并存的矛盾神职。,神格：以云雨精气或敌酋之灵为“食”。,龙神位阶,有翼龙躯盘雷云，鳞甲反光如雨线。,夸父|蚩尤,据《大荒东经》应龙条大意。
dahuang_jing,神祇,kui_beast,夔,,大荒經,大荒东经,大荒东经,东海流波山,状如牛，苍身而无角，一足，出入水则必风雨，其光如日月，其声如雷。,雷鼓母题：取其皮为鼓声闻五百里（音波类技能）。,海岛与风暴带；潮间带与雷云耦合。,神话：以风雨为食或驱动风暴摄取能量。,风暴灵体,一足牛形踏浪，角缺处雷纹；日月同辉于背甲。,黄帝战蚩尤,据《大荒东经》夔牛条大意。
dongshan_jing,异兽,liuju,从从,六足犬形兽,五藏山經,东山經,东次一經,栒状之山,其状如犬，六足。,见则其国多狡客（狡诈人物事件）。,多水无草木；滨海滩涂与风蚀岩柱。,食腐与小型甲壳；六足利于滩涂快速移动。,杂食中级消费者,犬形六足沙滩跑痕交错；远天狡月。,条菅之水,据《东山經》栒状之山条大意。
dongshan_jing,异兽,dangkang,当康,,五藏山經,东山經,东次四經,钦山,其状如豚而有牙。,见则天下穰（丰收征兆）。,多玉无石，师水出焉；农耕河谷想象。,掘根块茎类；粪便肥田促进微生物—作物链。,初级消费者 / 农耕祥瑞,短豚獠牙，踏过金黄穗浪；牙上挂露。,丰收,据《东次四經》钦山条大意。
dongshan_jing,鳞介,ziyu_fish,茈鱼,,五藏山經,东山經,东次一經,东次一經水系（妑水一带，各本略异）,状如鲋而赤鳞，其音如叱。,食之不骄（情绪类），可做镇静类药剂。,多青雘、多赤鱬类近水域；暖水浅沼。,杂食小鱼：藻类、无脊椎动物；鹭、蛇、大型鱼捕食。,中级消费者,鲫形赤鳞，叱声化为水纹冲击波；与南山赤鱬可做跨域变体。,赤鱬（南山）,据《东山經》东次一經青丘之山条大意。
dongshan_jing,鳞介,jiaojiao_fish,鳛鳛之鱼,,五藏山經,东山經,东次一經,涿光之山（嚣水）,状如鹊而十翼，鳞羽在羽端，其音如鹊。,怪鱼群游可做光污染/声诱陷阱。,嚣水西流注河；多鳛鳛之鱼，藻华与砾石浅滩。,滤食/杂食：浮游生物；大型肉食鱼与鸟捕食。,中级消费者,鹊形十翼夸张对称，鳞在羽端如金属片反光。,嚣水,据《东山經》涿光之山条大意。
haijing,神祇,dijiang,帝江,,海經,海内西經,海内西經,天山,状如黄囊，赤如丹火，六足四翼，浑敦无面目，是识歌舞。,中央混沌神格；歌舞可做节奏类机制。,天山雪线之上神话空间；无面目故无视觉捕食链。,不食或食气；与凡俗食物链断联。,神话顶层,黄囊团块六足四翼，丹火内透；面部留白仅声纹。,混沌,据《海内西經》天山条大意。
haijing,神祇,xingtian,刑天,,海經,海外西經,海外西經,常羊之山,以乳为目，以脐为口，操干戚而舞。,不屈战斗循环；断首重生母题。,常羊之山神话战场；硝烟与荒草。,神战存在，弱生态描写；可映射为怨念驱动。,战神位阶,无头躯干乳目脐口，干戚挥舞火星。,黄帝战叙事,据《海外西經》刑天条。
haijing,凶兽,xiangliu,相柳,相繇,海經,海内北經,海内北經,共工台附近泽中,九首蛇身，所过之处化为沼泽毒液。,地形毒害 AOE；共工臣属。,水草沼泽；强酸/毒藻推演。,顶级掠食：大型兽与人；毒涎改变土壤微生物群落，抑制高等植物。,顶级消费者 / 环境毁灭者,九头蛇冠如扇，涎水落地生苔枯死圈。,共工,据《海内北經》相柳条大意。
haijing,鳞介,basha,巴蛇,,海經,海内南經,海内南經,巴地（象骨神话）,玄蛇吞象，三岁而出其骨（通行大意）。,吞噬成长：吞敌延迟消化获得属性（强肉鸽机制）。,湿热河谷丛林；沼泽与象道交汇。,顶级：象、鹿、人；消化周期长形成能量瓶颈。,顶级消费者,玄蛇盘象，象骨三年后如白珊瑚破土。,象,据《海内南經》巴蛇食象条大意。
haijing,神祇,lulu_kunlun,陆吾,,海經,海内西經,海内西經,昆仑之丘,虎身而九尾，人面而虎爪；司帝之下都。,守门 BOSS / 关卡权限判定者。,昆仑高寒石漠与神域叠层；弱凡俗生态。,神司不涉凡俗食物链；可设定为吞食“违律者”。,神祇位阶,虎躯九尾如屏，人面威严；背后天门刻度。,开明兽,据《海内西經》昆仑条大意。
haijing,神祇,kaiming_shou,开明兽,,海經,海内西經,海内西經,昆仑之丘（开明门）,身大类虎而九首，皆人面，东向立昆仑上。,九首人面巡逻机制；每首不同技能轮替。,昆仑门阙；神域与凡域交界强风带。,神域守卫；以“闯入者”为猎。,神祇位阶,九首环形排列，人面表情各异；东向逆光剪影。,陆吾,据《海内西經》开明条大意。
nanshan_jing,异兽,xingxing,狌狌,禺属之兽,五藏山經,南山經,南山經之首（䧿山列）,招搖之山,状如禺而白耳，可行如人伏行，亦能疾走；与猕猴类相近而色貌有异。,食之善走（经载以肉为药饵类效用，游戏可转化为移速/耐力类成长）。,西海之滨、多桂与金玉的亚热带山麓林缘；近溪谷，伴生祝余、迷榖等草本与乔木。,杂食性灵长类生态位：果实、嫩芽、昆虫及小型无脊椎动物；大型猛禽与猛兽的潜在猎物。,次级消费者 / 种子传播者,猕猴体型、白耳、可直立奔跑的动态剪影；背景桂树与迷榖发光小花点题。,迷榖（佩之不迷）为同域植物符号,大意据《南山經》招搖之山条及郭璞注传统解释。
nanshan_jing,奇禽,baiyuan_tangting,白猿,,五藏山經,南山經,南山經之首（䧿山列）,堂庭之山,多白猿；猿似猕猴而大臂、脚长便捷，色有黑有黄，此处特举白色型。,经未直言药效；可作高机动、善攀援的林冠层生物。,多棪木、多水玉与黄金的山地；林冠浓密、湿度较高。,果实与嫩叶为主；与大型猫科、雕类存在捕食压力关系。,初级—次级消费者,长尾白猿在棪木枝头回身；水晶状水玉点缀岩隙。,堂庭多水玉,据《南山經》堂庭之山条。
nanshan_jing,异兽,lushu,鹿蜀,,五藏山經,南山經,南山經之首（䧿山列）,杻陽之山,状如马而白首，其文如虎而赤尾，其音如谣。,佩之宜子孙（民俗象征，游戏可映射为繁衍/羁绊/队伍上限等系统）。,山南多赤金、山北多白金；近怪水入憲翼之水，河岸阶地草甸。,大型草食动物：与虎豹类捕食者形成经典草原食物链；尾色醒目或具警戒功能。,大型初级消费者,马体虎纹、白首赤尾，踏水而行；远处赤金/白金矿脉色块暗示资源。,旋龟同出怪水,据《南山經》杻陽之山条。
nanshan_jing,鳞介,xuanguixuan,旋龟,,五藏山經,南山經,南山經之首（䧿山列）,怪水（杻陽之山发源）,状如龟而鸟首虺尾，名曰旋龟，其音如判木。,佩之不聋，可以为底（传统注疏多解作愈疾/护体类）。,河川与沼泽交汇的静水环境；多玄色底栖甲壳类与螺贝。,杂食偏肉食：软体动物、水草、腐殖质；成体或降低小型鱼类密度。,底栖次级消费者,黑甲龟背负水纹，鸟首与蛇尾对比强烈；水花呈“判木”声浪可视化线条。,憲翼之水注流区域,据《南山經》怪水条。
nanshan_jing,鳞介,lu_fish,鯥,,五藏山經,南山經,南山經之首（䧿山列）,柢山,状如牛，陵居，蛇尾有翼，其羽在魼下，其音如留牛；冬死而夏生。,食之无肿疾（游戏可作解毒/消肿状态抗性）。,多水无草木的裸露岩岸与潮间带；强日照、少植被遮挡。,拟似两栖或潮间带顶级无脊椎捕食者：摄食螺贝、甲壳类；幼体可能是鱼类饵料。,中级消费者 / 两栖型,牛形厚躯贴岩，胁下薄翼半透明；蛇尾拍击水面形成节律波纹。,柢山多水,据《南山經》柢山条；“冬死夏生”取蛰藏大意。
nanshan_jing,异兽,lei_beast,类,,五藏山經,南山經,南山經之首（䧿山列）,亶爰之山,状如狸而有髦；自为牝牡。,食者不妒（游戏可映射为队伍情绪/内讧免疫等肉鸽词条）。,多水、无草木、不可上的峭拔山体；岩隙与洞穴为主。,小型肉食或杂食：啮齿类、鸟类、昆虫；因雌雄同体设定可演绎为孤域繁殖策略。,次级消费者,狸形带鬃，雌雄同纹于双侧瞳孔；峭壁雾带强调“不可上”。,亶爰多水,据《南山經》亶爰之山条。
nanshan_jing,异兽,boyi,猼訑,,五藏山經,南山經,南山經之首（䧿山列）,基山,状如羊，九尾四耳，其目在背。,佩之不畏（可映射勇气/恐惧免疫）。,基山阳面多玉、阴面多怪木；疏林灌丛与怪石共存。,草食：啃食灌木与苔藓；背目或用于警戒天敌自上方来袭。,初级消费者,羊体九尾扇形展开，背生双目；怪木扭曲如祭器。,基山三首鸟,据《南山經》基山条。
nanshan_jing,奇禽,chichi_bird,𪁺𩿧,三首六目鸟（基山）,五藏山經,南山經,南山經之首（䧿山列）,基山,状如鸡而三首六目六足三翼。,食之无卧（可演绎为亢奋/不眠双刃剑肉鸽效果）。,与猼訑同域；昼行性林缘空地，或具展示性求偶场。,杂食偏虫：林地表昆虫、浆果；三首可演绎为分工警戒/啄食。,次级消费者,鸡形为基础，三颈三头呈扇形；六足抓地、三翼不对称以增怪异感。,猼訑同山,据《南山經》基山条；字形据通行整理本。
nanshan_jing,异兽,jiuwei_hu,九尾狐,,五藏山經,南山經,南山經之首（䧿山列）,青丘之山,状如狐而九尾，其音如婴儿，能食人。,食者不蛊（妖邪/蛊毒类抗性）；亦保留“能食人”的危险性以做异变素材。,青丘阳多玉、阴多青雘；英水南流即翼之泽，泽畔湿地灌丛。,顶级中小型肉食者：啮齿类、雉类、近水鸟类；与人族聚落存在冲突叙事。,次级—三级消费者,九尾弧光如屏，婴啼声纹空中扭曲；泽中赤鱬群体作背景猎物。,灌灌|赤鱬,据《南山經》青丘之山条。
nanshan_jing,奇禽,guanguan_bird,灌灌,,五藏山經,南山經,南山經之首（䧿山列）,青丘之山,状如鸠，其音若呵。,佩之不惑（混乱/迷惑状态抗性）。,泽畔疏林；与鸠鸽类相近生态位，偏地面取食。,种子与落果为主；狐、蛇、中小型猛禽的猎物。,初级消费者,鸠形羽色朴素，喉部声纹如“呵”字扩散；背景九尾狐尾影压迫。,九尾狐|赤鱬,据《南山經》青丘之山条。
nanshan_jing,鳞介,chiru_fish,赤鱬,,五藏山經,南山經,南山經之首（䧿山列）,英水（青丘之山发源）,状如鱼而人面，其音如鸳鸯。,食之不疥（皮肤类异常抗性）。,即翼之泽的暖水浅沼；多藻华与贝类底质。,滤食或杂食小鱼；鹭、鹤、狐、大型鱼类为其天敌。,中级消费者,赤鳞鱼群泛光，人面纹仅示意不写实恐怖；鸳鸯声作和鸣粒子特效。,九尾狐|灌灌,据《南山經》英水条。
nanshan_jing,异兽,lili_li,狸力,,五藏山經,南山經,南次二經,柜山,状如豚，有距，其音如狗吠。,见则其县多土功（工程劳役征兆，可映射为建造/挖掘事件权重上升）。,柜山西临流黄，北望诸毗，东望长右；河谷阶地与农田交错带。,掘土食根茎、块茎、蚯蚓；改变微地形，影响排水与植被演替。,生态系统工程师 / 杂食掘土者,短壮豚体带禽距，爪沾黄土；远景有人城土工烟柱。,鴸,据《南山經》南次二經柜山条。
nanshan_jing,奇禽,zhu_bird,鴸,,五藏山經,南山經,南次二經,柜山,状如鸱而人手，其音如痹，名自号。,见则其县多放士（人才流落征兆，可做招募/流放事件）。,与狸力同域；崖巢与裸岩突出部。,肉食猛禽生态位：小型哺乳、两爬、鱼类；人手羽化强调诡异而非解剖写实。,次级—三级消费者,鸱面钩喙，翼缘似人手五指张开的剪影；号声以破碎音波表现。,狸力,据《南山經》南次二經柜山条。
nanshan_jing,异兽,changyou,长右,,五藏山經,南山經,南次二經,长右之山,状如禺而四耳，其音如吟。,见则郡县大水（洪涝事件标签；游戏可做环境 hazard）。,无草木多水，花岗岩风化薄土；集雨面大、汇流快。,杂食灵长类；洪水后果实丰度变化影响种群波动。,次级消费者,四耳如扇侧立，蹲坐峰顶望云；脚下溪谷涨水线明暗对照。,柜山东望长右,据《南山經》南次二經长右之山条。
nanshan_jing,异兽,huaihuai,猾褢,,五藏山經,南山經,南次二經,堯光之山,状如人而彘鬣，穴居而冬蛰，其音如斲木。,见则县有大繇（徭役大兴），可做“劳役/大工程”叙事压力。,山南多玉、山北多金；洞系发育的温带山地。,杂食偏掘根：块根、昆虫、小型脊椎动物；冬眠降低冬季能流。,次级消费者,人形覆以野猪鬃，爪持木屑飞溅；洞口霜线示冬蛰。,堯光金玉,据《南山經》南次二經堯光之山条。
nanshan_jing,凶兽,zhi_fuyu,彘（浮玉之山）,,五藏山經,南山經,南次二經,浮玉之山,状如虎而牛尾，其音如吠犬，是食人。,顶级掠食威胁；可做区域 BOSS 或精英异变体。,北望具区（古太湖），苕水北流入湖；湖山交错林带。,食人级大型猛兽：鹿类、野猪、人类商队；牛尾强化冲撞尾击。,顶级消费者,虎躯牛尾，犬吠声纹绕体；远景太湖雾帆。,鮆鱼,据《南山經》南次二經浮玉之山条。
nanshan_jing,异兽,huan_beast,䍺,,五藏山經,南山經,南次二經,洵山,状如羊而无口，不可杀也。,“不可杀”可演绎为无敌帧/护佑被动或剧情锁血神兽。,山南多金、山北多玉；洵水南入閼之泽，紫色螺贝丰富。,无口设定与能量来源矛盾，宜作神话生物：以金玉精气为食或光合异化。,神话位阶 / 非典型消费者,羊形光滑无口，躯体半透明含金玉纹理；泽中芘蠃紫带环绕。,芘蠃,据《南山經》南次二經洵山条。
nanshan_jing,凶兽,gudiao,蠱雕,,五藏山經,南山經,南次二經,鹿吳之山（泽更之水）,状如雕而有角，其音如婴儿之音，是食人。,空中顶级威胁；婴儿啼声作诱饵机制。,多金石无草木的裸山与急流；强风上升气流利于猛禽巡猎。,食人亦捕食中小型兽与鱼；与彘、九尾狐同属“高危异兽”生态顶层。,顶级消费者,角雕巨翼，喉部声囊发光如婴啼波纹；水面倒影示掠食轨迹。,泽更之水|滂水,据《南山經》南次二經鹿吳之山条。
nanshan_jing,异兽,xishou_xi,犀,,五藏山經,南山經,南次三經,禱過之山,犀似水牛，角在额鼻，大体黑厚皮。,厚皮冲撞型单位；与象、兕同列可做大型兽群生态。,多金玉其下，犀兕象成群的热带—亚热带河谷丛林。,大型植食：草本、嫩枝、果实；成年个体少有天敌，幼体惧虎豹鳄。,大型初级消费者,重甲厚皮，角弧如月；象群与兕影叠在林隙光柱中。,兕|象,据《南山經》南次三經禱過之山条及郭璞注大意。
nanshan_jing,异兽,sishou_si,兕,,五藏山經,南山經,南次三經,禱過之山,似水牛而青色一角，重千斤量级（夸张笔法）。,侧写“皮甲/冲撞”防御向异兽；与犀象共域。,河谷泥滩与密林交界；喜近水浴泥。,草食；角用于种内竞争与驱敌。,大型初级消费者,青黑巨躯一角顶天，泥壳龟裂；远景象鼻与犀背形成三角构图。,犀|象,据《南山經》南次三經禱過之山条。
nanshan_jing,异兽,shanhai_xiang,象,,五藏山經,南山經,南次三經,禱過之山,兽之最大者，长鼻，大者牙长丈余（文学夸张）。,生态系统工程师：推倒树木、开辟林窗，改变微生境。,同禱過之山犀兕象群落；泿水南流入海，河口红树林可推演。,高纤维植食；粪便滋养昆虫与土壤微生物链。,大型初级消费者 / 生境改造者,长鼻卷枝，牙如象牙白弧；鸟群栖背共生。,犀|兕|瞿如|虎蛟,据《南山經》南次三經禱過之山条。
nanshan_jing,奇禽,quru,瞿如,,五藏山經,南山經,南次三經,禱過之山,状如䴔而白首，三足人面，其鸣自号也。,声纹自号可做区域广播/预警事件。,水滨涉禽生态位：泥滩、芦苇、红树林气根间。,鱼虾、软体动物、昆虫；鳄、大蛇、大型鱼为潜在天敌。,次级消费者,三足涉禽，白首人面纹简化为面具感；足印三角稳定构图。,虎蛟|犀|象,据《南山經》南次三經禱過之山条。
nanshan_jing,鳞介,hujiao,虎蛟,,五藏山經,南山經,南次三經,泿水（禱過之山发源）,其状鱼身而蛇尾，其音如鸳鸯，食者不肿，可以已痔（经载）。,水中精英怪；疗效映射为治疗类掉落或祝福。,入海河口半咸水；红树林根系间伏击。,肉食：中小型鱼类、甲壳类；幼鳄竞争关系。,次级—三级消费者,鱼身蛇尾带暗纹，鸳鸯声作双色水纹；尾击扬起半咸水花。,瞿如,据《南山經》南次三經禱過之山/泿水条。
nanshan_jing,奇禽,fenghuang,鳳皇,,五藏山經,南山經,南次三經,丹穴之山,状如鸡，五采而文：首文曰德，翼曰义，背曰礼，膺曰仁，腹曰信。,见则天下安宁（全局正向事件/难度回落等慎用机制）。,丹水南注渤海海岸；多金玉的丹霞色山体与温泉气。,神话高位：饮食自然，自歌自舞；与凡俗食物链弱耦合。,文化符号位 / 祥瑞顶层,鸡形五采羽，德义礼仁信文字隐为羽斑纹理；自歌自舞用粒子乐谱。,鵷鶵,据《南山經》南次三經丹穴之山条。
nanshan_jing,鳞介,zhuanyu_fish,鱄鱼,,五藏山經,南山經,南次三經,鸡山（黑水）,状如鲋而彘毛，其音如豚。,见则天下大旱（干旱灾害标签）。,黑水南流入海；多金其上下多丹雘，暗示高温干旱色调。,杂食底栖：有机碎屑、藻类；大旱推演时水体萎缩竞争加剧。,中级消费者,鲫形鱼覆猪鬃硬毛，豚鸣激起尘土色水雾；天顶赤日。,顒,据《南山經》南次三經鸡山条。
nanshan_jing,奇禽,yu_bird,顒,,五藏山經,南山經,南次三經,令丘之山,状如枭，人面四目而有耳，其鸣自号也。,见则天下大旱；与鱄鱼形成“旱魃线”事件链。,无草木多火，中谷条风（东北风）出口；焚风效应峡谷。,肉食猛禽：啮齿、蜥蜴；干旱区猎物密度波动大。,次级—三级消费者,枭形四目如灯，人面耳廓夸张；谷口火风卷沙。,鱄鱼,据《南山經》南次三經令丘之山条。
nanshan_jing,奇禽,yuanchu,鵷鶵,,五藏山經,南山經,南次三經,南禺之山（佐水）,凤属，与凤凰同现于南禺之山穴水冬闭夏出之处。,祥瑞从属色：非凤凰本体但同系，可做稀有配色异变。,多金玉其上下多水；海蚀穴潮汐通道。,神话从属：与凤皇共享“饮啄自然”叙事，少涉凡俗捕食。,文化符号位,较凤皇更青紫的羽色，体型略小；穴水喷涌如呼吸节律。,鳳皇,据《南山經》南次三經南禺之山条。
xishan_jing,异兽,xianyang,羬羊,,五藏山經,西山經,西山經之首（錢來山列）,錢來之山,其状如羊而马尾。,其脂可以已腊（去皴裂/润肤类），可做药剂素材。,多松、洗石出焉；干燥松针酸性土与裸岩。,草食：禾草、灌木；狼、豹、金雕捕食。,初级消费者,羊体马尾蓬松如帚，松涛背景；脂光温润。,松樹洗石,据《西山經》錢來之山条大意。
xishan_jing,异兽,chonglong,葱聋,,五藏山經,西山經,西山經之首,符禺之山,其状如羊而赤鬣。,经载矿物与草木伴生，兽作区域生物标志。,多条小水系发源，铜铁矿产线索；灌草丛生。,草食；鬣赤或与环境铁氧化物土壤相关（设计夸张）。,初级消费者,赤鬣如焰，羊瞳竖条；山溪铁锈色水线。,文茎,据《西山經》符禺之山条大意。
xishan_jing,奇禽,bifang,毕方,,五藏山經,西山經,西次三經,章莪之山,其状如鹤，一足，赤文青质而白喙。,见则其邑有讹火（火灾事件）；亦常被引申为火灵。,无草木多瑶碧，怪火潜燃的裸岩山地。,神话火食或捕食火中虫（虚构）；与凡俗链弱相关，强调灾害位。,灾害性顶级灵体,一足鹤立，赤纹如焰脉；喙白啄地溅火星。,讹火,据《西山經》章莪之山条大意。
xishan_jing,奇禽,luan_niao,鸾鸟,,五藏山經,西山經,西次二經,女床之山,其状如翟而五采文。,见则天下安宁（祥瑞）；与凤凰系并置。,多铜、石涅；彩色矿染风化的山体想象。,神话高位；食自然之气或花蜜类虚构。,文化符号位,翟形长尾拖彩，五采羽纹几何化；山铜色块为背景。,鳳皇,据《西山經》女床之山条大意。
xishan_jing,鳞介,wenyao,文鳐鱼,,五藏山經,西山經,西次三經,泰器之山（观水）,鱼身鸟翼，苍文白首赤喙，常行西海游于东海，以夜飞。,食之已狂，见则天下大穰（癫狂治疗与丰年双标签）。,观水西流注流沙；海陆风夜飞路线。,浮游生物与小鱼；海鸟、大型鱼捕食成体。,中级消费者 / 跨区域迁徙者,翼展如燕鱼，夜飞拖星屑；西海蓝与东海青绿渐变。,泰器之山,据《西山經》泰器之山条大意。
xishan_jing,蛇蟒,fei_snake,肥遗（蛇形·太华）,,五藏山經,西山經,西次一經,太华之山,蛇形一首两身，见则天下大旱。,旱灾；与“六足四翼”之肥遗异物同名，可拆双形态异变。,高峻少植的花岗绝壁与深谷。,伏击型蛇类：鸟类、啮齿。,三级消费者,双身蛇纹对称盘石，蛇首昂起示旱云。,太华,据《西山經》太华之山条。
xishan_jing,异兽,tiangou,天狗,,五藏山經,西山經,西次三經,阴山,其状如狸而白首，其音如榴榴，可以御凶。,御凶类护符生物；可做随从或结界反伤。,阴山多砺石、洗石；干燥硬叶灌丛与裸岩。,肉食偏小型：啮齿、蜥蜴；白首在岩区具隐蔽优势。,次级消费者,狸形白首，榴榴声化作护符光环；砺石如齿列背景。,阴山洗石,据《西山經》阴山条大意。
xishan_jing,异兽,zheng_beast,狰,,五藏山經,西山經,西次三經,章莪之山,状如赤豹，五尾一角，其音如击石。,与毕方同域并存，可做“火域猎手”精英模板。,无草木多瑶碧、怪火潜燃；岩隙伏击带。,肉食：中小型兽与鸟；尾多或具社会信号与平衡功能（设计夸张）。,三级消费者,赤豹五尾如扇，独角击石火星；与毕方火羽形成冷暖对比。,毕方,据《西山經》章莪之山条大意。
xishan_jing,凶兽,qiongqi,穷奇,,五藏山經,西山經,西次四經,邽山,状如牛，猬毛，音如嗥狗，是食人。,凶兽顶层；可映射为混沌阵营或诅咒异变。,邽山多玉、无石；寒旱灌丛与风蚀地貌。,食人亦食兽；与狍鸮、彘等构成“食人兽”生态叙事簇。,顶级消费者,牛形猬毛，嗥狗声浪成环；地面散落碎玉如骨。,狍鸮,据《西山經》邽山条大意。
xishan_jing,奇禽,manman,蛮蛮,比翼鸟,五藏山經,西山經,西次三經,崇吾之山,状如凫，而一翼一目，相得乃飞。,成对机制：单体残缺，双体合体飞行（强肉鸽构筑点）。,河川阶地，多棪木；对风场敏感可夜迁。,杂食涉禽：水草、软体动物；猛禽捕食成鸟。,次级消费者,各半翼半目两只并立合成一鸟剪影；河风拉长线羽。,崇吾之山,据《西山經》崇吾之山条大意。
xishan_jing,异兽,jueru,玃如,,五藏山經,西山經,西次四經,皋涂之山,其状如鹿而白尾，马足人手而四角。,经未载服食之效；适合作为高山草甸线的稀有坐骑/精英怪。,皋涂多玃如、多麋；高山林线附近寒湿草甸。,草食为主：莎草、灌木嫩枝；狼、豹、雕捕食。,大型初级消费者,鹿体白尾，人手马蹄的错位拼接；四角如冠。,麋,据《西山經》皋涂之山条大意。
